f_code,coc,nam,laa,pop,ypc,adm_code,salb,soc
FA001,JPN,Iwate Ken,Kamaishi Shi,"36934","2014","03211",UNK,JPN
FA001,JPN,Iwate Ken,Kamaishi Shi,"-89999999","2014","03211",UNK,JPN
FA001,JPN,Iwate Ken,Ninohe Shi,"29399","2014","03213",UNK,JPN
FA001,JPN,Iwate Ken,Hachimantai Shi,"28039","2014","03214",UNK,JPN
FA001,JPN,Iwate Ken,Oshu Shi,"123737","2014","03215",UNK,JPN
FA001,JPN,Iwate Ken,Shizukuishi Cho,"55102","2014","03301",UNK,JPN
FA001,JPN,Iwate Ken,Kuzumaki Machi,"17722","2014","03302",UNK,JPN
FA001,JPN,Iwate Ken,Iwate Machi,"7020","2014","03303",UNK,JPN
FA001,JPN,Iwate Ken,Takizawa Shi,"14862","2014","03305",UNK,JPN
FA001,JPN,Iwate Ken,Shiwa Cho,"33962","2014","03321",UNK,JPN
FA001,JPN,Iwate Ken,Yahaba Cho,"26820","2014","03322",UNK,JPN
FA001,JPN,Iwate Ken,Nishiwaga Machi,"6425","2014","03366",UNK,JPN
FA001,JPN,Iwate Ken,Kanegasaki Cho,"16207","2014","03381",UNK,JPN
FA001,JPN,Iwate Ken,Hiraizumi Cho,"8205","2014","03402",UNK,JPN
FA001,JPN,Iwate Ken,Sumita Cho,"6127","2014","03441",UNK,JPN
FA001,JPN,Iwate Ken,Otsuchi Cho,"12735","2014","03461",UNK,JPN
FA001,JPN,Iwate Ken,Yamada Machi,"16963","2014","03482",UNK,JPN
FA001,JPN,Iwate Ken,Yamada Machi,"-89999999","2014","03482",UNK,JPN
FA001,JPN,Iwate Ken,Yamada Machi,"-89999999","2014","03482",UNK,JPN
FA001,JPN,Iwate Ken,Iwaizumi Cho,"10555","2014","03483",UNK,JPN
FA001,JPN,Iwate Ken,Tanohata Mura,"3747","2014","03484",UNK,JPN
FA001,JPN,Iwate Ken,Fudai Mura,"2952","2014","03485",UNK,JPN
FA001,JPN,Iwate Ken,Karumai Machi,"10204","2014","03501",UNK,JPN
FA001,JPN,Iwate Ken,Noda Mura,"4560","2014","03503",UNK,JPN
FA001,JPN,Iwate Ken,Kunohe Mura,"6358","2014","03506",UNK,JPN
FA001,JPN,Iwate Ken,Hirono Cho,"18485","2014","03507",UNK,JPN
FA001,JPN,Iwate Ken,Ichinohe Machi,"13933","2014","03524",UNK,JPN
FA001,JPN,Miyagi Ken,Sendai Shi,"1049578","2014","04100",UNK,JPN
FA001,JPN,Miyagi Ken,Sendai Shi,"-89999999","2014","04100",UNK,JPN
FA001,JPN,Miyagi Ken,Sendai Shi,"-89999999","2014","04100",UNK,JPN
FA001,JPN,Miyagi Ken,Ishinomaki Shi,"150966","2014","04202",UNK,JPN
FA001,JPN,Miyagi Ken,Ishinomaki Shi,"-89999999","2014","04202",UNK,JPN
FA001,JPN,Miyagi Ken,Ishinomaki Shi,"-89999999","2014","04202",UNK,JPN
FA001,JPN,Miyagi Ken,Ishinomaki Shi,"-89999999","2014","04202",UNK,JPN
